"Freq [GHz]","dB(St(1,1)) []"
1,-0.0428711357696514
1.02,-0.0467459373515478
1.04,-0.0509709976735861
1.06,-0.0555482999499098
1.08,-0.0604681740454573
1.1,-0.0657055609389172
1.12,-0.0712161205562029
1.14,-0.0769326665738418
1.16,-0.0827626463247499
1.18,-0.0885875706912615
1.2,-0.0942653460190026
1.22,-0.0996362566703019
1.24,-0.104532805807327
1.26,-0.108792773189255
1.28,-0.112273879504585
1.3,-0.11486768025335
1.32,-0.116510111874887
1.34,-0.117186658865221
1.36,-0.116931291342496
1.38,-0.115819734903967
1.4,-0.113958785784578
1.42,-0.11147392786463
1.44,-0.108497384826054
1.46,-0.105158146506341
1.48,-0.101574740552727
1.5,-0.0978508355242397
1.52,-0.0940733022375049
1.54,-0.0903121390195616
1.56,-0.0866216339522453
1.58,-0.0830422245976946
1.6,-0.0796026400339223
1.62,-0.0763220478215531
1.64,-0.0732120369351043
1.66,-0.0702783537289683
1.68,-0.0675223629087655
1.7,-0.0649422410397342
1.72,-0.062533927498179
1.74,-0.0602918683689978
1.76,-0.0582095857603051
1.78,-0.056280108099632
1.8,-0.054496287885662
1.82,-0.0528510335942525
1.84,-0.0513374738426446
1.86,-0.049949071247021
1.88,-0.0486796985920975
1.9,-0.0475236863357347
1.92,-0.0464758506266122
1.94,-0.0455315065271663
1.96,-0.0446864713472423
1.98,-0.0439370618573137
2,-0.0432800871212656
2.02,-0.0427128395267029
2.04,-0.0422330850847106
2.06,-0.0418390540169174
2.08,-0.0415294325310997
2.1,-0.0413033561473292
2.12,-0.0411604050753174
2.14,-0.0411006018558024
2.16,-0.041124411361235
2.18,-0.0412327433877435
2.2,-0.0414269577850942
2.22,-0.0417088720315343
2.24,-0.0420807714396851
2.26,-0.0425454213390372
2.28,-0.043106081624112
2.3,-0.0437665227307069
2.32,-0.0445310428911686
2.34,-0.0454044851326593
2.36,-0.0463922507161199
2.38,-0.047500292492605
2.4,-0.048735127815998
2.42,-0.0501059228672164
2.44,-0.0516166677700568
2.46,-0.0532783183580634
2.48,-0.0550996152792039
2.5,-0.0570902114946132
2.52,-0.0592603720403632
2.54,-0.0616209029119333
2.56,-0.0641830824770994
2.58,-0.066958576442845
2.6,-0.0699593326709322
2.62,-0.0731974557037679
2.64,-0.0766850639027694
2.66,-0.0804341351906525
2.68,-0.0844563512581162
2.7,-0.0887629563998329
2.72,-0.0933646514264612
2.74,-0.0982715501235487
2.76,-0.103493230630961
2.78,-0.109038917487245
2.8,-0.114917829769939
2.82,-0.121139726608396
2.84,-0.127715668218416
2.86,-0.134658993725665
2.88,-0.141986489037672
2.9,-0.149719687224146
2.92,-0.157886210303334
2.94,-0.166521026660755
2.96,-0.175667475120689
2.98,-0.185377889693814
3,-0.195713659950957
3.02,-0.206744579625463
3.04,-0.218547371546824
3.06,-0.231203332665019
3.08,-0.244795126840754
3.1,-0.259402943504525
3.12,-0.275101591839676
3.14,-0.2919648468731
3.16,-0.310032946138111
3.18,-0.329324603899101
3.2,-0.349864735754151
3.22,-0.37165739688919
3.24,-0.394698181674317
3.26,-0.418985986180106
3.28,-0.444536502921928
3.3,-0.471397772194043
3.32,-0.499666669087316
3.34,-0.529505055644963
3.36,-0.561154640538696
3.38,-0.594950191493773
3.4,-0.631331481928813
3.42,-0.670855051771022
3.44,-0.714207396616593
3.46,-0.762221524278905
3.48,-0.815898965660487
3.5,-0.876439364065116
3.52,-0.945279773731178
3.54,-1.02414580095928
3.56,-1.11511670008828
3.58,-1.22070637243171
3.6,-1.34396163947092
3.62,-1.48857757286819
3.64,-1.65902571350336
3.66,-1.86068185910487
3.68,-2.09992040852752
3.7,-2.38410311610152
3.72,-2.72131783335495
3.74,-3.11959742202421
3.76,-3.5851472992947
3.78,-4.11883518490832
3.8,-4.70999961099688
3.82,-5.32716209324605
3.84,-5.9081914111929
3.86,-6.35982244064763
3.88,-6.58292683596821
3.9,-6.52382984598387
3.92,-6.2099974097464
3.94,-5.72930460859351
3.96,-5.17798972445828
3.98,-4.62662970792989
4,-4.11476751249346
4.02,-3.65908549665749
4.04,-3.26287369475879
4.06,-2.92275531272787
4.08,-2.6326334588133
4.1,-2.38575829855357
4.12,-2.17570263161145
4.14,-1.99675447947468
4.16,-1.84401824914136
4.18,-1.71338141803719
4.2,-1.60142746148662
4.22,-1.50533460316241
4.24,-1.42277847756981
4.26,-1.3518459106835
4.28,-1.29096173312
4.3,-1.23882813386848
4.32,-1.19437510877492
4.34,-1.15672030704252
4.36,-1.12513664767853
4.38,-1.09902627226566
4.4,-1.07789962758087
4.42,-1.0613586889532
4.44,-1.0490835268085
4.46,-1.04082158070168
4.48,-1.03637913942775
4.5,-1.03561463936472
4.52,-1.03843349237331
4.54,-1.04478425095688
4.56,-1.05465601657959
4.58,-1.06807706284342
4.6,-1.08511447834963
4.62,-1.10587362377977
4.64,-1.13049393008958
4.66,-1.15913833511575
4.68,-1.19198664408421
4.7,-1.22924923859225
4.72,-1.27118619251248
4.74,-1.31810777999182
4.76,-1.37036500244764
4.78,-1.42834377911243
4.8,-1.49246318969519
4.82,-1.56317438253549
4.84,-1.64095825088827
4.86,-1.72632109860428
4.88,-1.81978781002356
4.9,-1.92189202054763
4.92,-2.03316271798278
4.94,-2.15410667598152
4.96,-2.28518616711663
4.98,-2.42679155724587
5,-2.57920868192235
5.02,-2.74258139070203
5.04,-2.91687035367137
5.06,-3.10181017222042
5.08,-3.29686800453918
5.1,-3.50120822076895
5.12,-3.7136688688958
5.14,-3.93275668072586
5.16,-4.15666758970952
5.18,-4.38333883291795
5.2,-4.61053628915104
5.22,-4.83597662155731
5.24,-5.05747835108593
5.26,-5.27313006932555
5.28,-5.48145902537726
5.3,-5.68158090770215
5.32,-5.87331301539928
5.34,-6.05723841099523
5.36,-6.23471701032359
5.38,-6.40784881554523
5.4,-6.57940228963301
5.42,-6.75272548142102
5.44,-6.93165841170246
5.46,-7.12046307962519
5.48,-7.32378364810733
5.5,-7.54664545651873
5.52,-7.79449874260436
5.54,-8.07331215526415
5.56,-8.38972283144221
5.58,-8.75125454446476
5.6,-9.16662424750792
5.62,-9.6461725105822
5.64,-10.2024799036276
5.66,-10.8512806390071
5.68,-11.6128829479423
5.7,-12.5145118161031
5.72,-13.5944250885479
5.74,-14.9095734395757
5.76,-16.550827661839
5.78,-18.676977349892
5.8,-21.6055344284558
5.82,-26.1197748572358
5.84,-34.3605953982818
5.86,-31.0082838856104
5.88,-24.2739775700928
5.9,-20.4043577249122
5.92,-17.7676218813394
5.94,-15.8039607791663
5.96,-14.2688432661133
5.98,-13.0347811361708
6,-12.0272220845342
6.02,-11.1988987402275
6.04,-10.5175311474419
6.06,-9.95803446211892
6.08,-9.49396335423896
6.1,-9.08174809788001
6.12,-8.63209762647177
6.14,-8.00335196618374
6.16,-7.16029742260468
6.18,-6.37139488932045
6.2,-5.87942718619155
6.22,-5.6443469785632
6.24,-5.55039689189086
6.26,-5.52838773559996
6.28,-5.5490042995723
6.3,-5.60174423374768
6.32,-5.68383556448
6.34,-5.79566953982485
6.36,-5.93904667389876
6.38,-6.1165336870744
6.4,-6.33125576487467
6.42,-6.58686434684286
6.44,-6.8875819825038
6.46,-7.23828974858731
6.48,-7.64465027508784
6.5,-8.11327414124152
6.52,-8.65194909749731
6.54,-9.2699653822813
6.56,-9.97859056724327
6.58,-10.791779361083
6.6,-11.7272562880507
6.62,-12.8081955669193
6.64,-14.065857403503
6.66,-15.5436988797176
6.68,-17.3033387020509
6.7,-19.430096060702
6.72,-22.0160871379088
6.74,-24.971173353654
6.76,-27.0866198262101
6.78,-26.1669737338974
6.8,-23.6186720077414
6.82,-21.2471990622939
6.84,-19.3390841450234
6.86,-17.8181188350209
6.88,-16.5899092565345
6.9,-15.58370408545
6.92,-14.74943427943
6.94,-14.0513288224158
6.96,-13.463206704825
6.98,-12.9653972158367
7,-12.5427501007251
7.02,-12.18333002305
7.04,-11.8775399261369
7.06,-11.6175178599268
7.08,-11.3967122986173
7.1,-11.2095769158343
7.12,-11.0513472807643
7.14,-10.9178749447715
7.16,-10.8055023495451
7.18,-10.7109670045745
7.2,-10.6313269617241
7.22,-10.5639029879093
7.24,-10.5062365051273
7.26,-10.4560650009929
7.28,-10.4113153207844
7.3,-10.3701095981163
7.32,-10.3307739920912
7.34,-10.2918426373924
7.36,-10.2520559954956
7.38,-10.2103571111865
7.4,-10.1658887271879
7.42,-10.1179916564812
7.44,-10.0662030989644
7.46,-10.0102532722818
7.48,-9.95005918642807
7.5,-9.88571502892684
7.52,-9.81747917460018
7.54,-9.74575823008141
7.56,-9.67108877965546
7.58,-9.5941176393815
7.6,-9.51558147260604
7.62,-9.43628658862495
7.64,-9.35708965811125
7.66,-9.27887995104141
7.68,-9.20256355569587
7.7,-9.1290498847368
7.72,-9.05924063209923
7.74,-8.99402121860212
7.76,-8.93425466243876
7.78,-8.88077773289176
7.8,-8.83439919207239
7.82,-8.79589989774963
7.84,-8.76603452592239
7.86,-8.74553467233944
7.88,-8.73511310315495
7.9,-8.7354689422785
7.92,-8.74729360550114
7.94,-8.77127731441019
7.96,-8.80811604554653
7.98,-8.85851878921435
8,-8.92321500599759
8.02,-9.00296217303733
8.04,-9.09855330312232
8.06,-9.21082428689404
8.08,-9.34066083668055
8.1,-9.48900466785668
8.12,-9.65685828679915
8.14,-9.84528728618777
8.16,-10.0554183134361
8.18,-10.2884299452625
8.2,-10.5455329626601
8.22,-10.8279365798682
8.24,-11.1367977079763
8.26,-11.4731484242231
8.28,-11.8377886418472
8.3,-12.2311177903358
8.32,-12.652867851933
8.34,-13.10169298888
8.36,-13.574564689232
8.38,-14.0659186837175
8.4,-14.5665213173778
8.42,-15.0621112802163
8.44,-15.5320913872704
8.46,-15.9489437920551
8.48,-16.2795219354568
8.5,-16.489456227184
8.52,-16.5507670718247
8.54,-16.4502240737452
8.56,-16.1939776088696
8.58,-15.8054463005922
8.6,-15.317874476196
8.62,-14.7659653309521
8.64,-14.180094313039
8.66,-13.5839025827234
8.68,-12.9942958771736
8.7,-12.4225718551238
8.72,-11.8758063811854
8.74,-11.3580874365423
8.76,-10.8714735628506
8.78,-10.416686676247
8.8,-9.9935925248335
