"Freq [GHz]","dB(St(1,1)) []"
1,-0.0554205226825645
1.02,-0.0577914310125262
1.04,-0.0602526304136744
1.06,-0.0627988988497483
1.08,-0.0654238610721862
1.1,-0.0681199080227948
1.12,-0.0708781268101615
1.14,-0.0736882489045681
1.16,-0.0765386198820253
1.18,-0.0794161970267962
1.2,-0.0823065814179801
1.22,-0.0851940872679353
1.24,-0.0880618571835625
1.26,-0.0908920226125531
1.28,-0.0936659142129778
1.3,-0.0963643205537551
1.32,-0.0989677924557406
1.34,-0.101456987446793
1.36,-0.103813045447271
1.38,-0.106017984283107
1.4,-0.108055101144704
1.42,-0.109909364094668
1.44,-0.111567777966484
1.46,-0.113019706705549
1.48,-0.114257139331606
1.5,-0.115274885246187
1.52,-0.116070691232722
1.54,-0.116645274663169
1.56,-0.117002273085633
1.58,-0.117148113697356
1.6,-0.117091811551649
1.62,-0.116844707900053
1.64,-0.116420161765997
1.66,-0.115833211163291
1.68,-0.115100217751407
1.7,-0.114238510876154
1.72,-0.11326604285474
1.74,-0.112201067127385
1.76,-0.111061846929315
1.78,-0.109866401161425
1.8,-0.108632289909234
1.82,-0.107376441701212
1.84,-0.10611502106449
1.86,-0.104863334515731
1.88,-0.10363577182793
1.9,-0.102445778398126
1.92,-0.101305854388348
1.94,-0.100227576287643
1.96,-0.0992216365089362
1.98,-0.0982978968344543
2,-0.0974654519488158
2.02,-0.0967326998689869
2.04,-0.0961074160535224
2.06,-0.0955968288038604
2.08,-0.0952076936203826
2.1,-0.0949463645445707
2.12,-0.0948188607791339
2.14,-0.0948309269173756
2.16,-0.0949880852359086
2.18,-0.0952956784114453
2.2,-0.095758900971608
2.22,-0.0963828176297316
2.24,-0.097172366425254
2.26,-0.0981323443010894
2.28,-0.0992673732142471
2.3,-0.100581844844913
2.32,-0.102079844301018
2.34,-0.103765058532348
2.36,-0.105640689910643
2.38,-0.107709441595304
2.4,-0.109973795445809
2.42,-0.112437439612628
2.44,-0.115112187483849
2.46,-0.118065368550903
2.48,-0.122325167038377
2.5,-0.125785383165188
2.52,-0.127537561541628
2.54,-0.130841035358771
2.56,-0.134355213504452
2.58,-0.137972519023221
2.6,-0.141645677962691
2.62,-0.145334523684499
2.64,-0.148999627666268
2.66,-0.15260272330813
2.68,-0.156109275711886
2.7,-0.159492294322353
2.72,-0.162737053981594
2.74,-0.165846441962933
