"Freq [GHz]","abs(VSWRt(1)) []"
1,313.45496885542
1.02,300.595487210691
1.04,288.316855501334
1.06,276.626744526215
1.08,265.527914774447
1.1,255.018963174349
1.12,245.095016668932
1.14,235.748355069111
1.16,226.968969526321
1.18,218.745053843823
1.2,211.06342852229
1.22,203.909908558766
1.24,197.269608363222
1.26,191.127200134948
1.28,185.467122866972
1.3,180.273750276301
1.32,175.53152178053
1.34,171.225040552396
1.36,167.339143119913
1.38,163.858943979607
1.4,160.769858444652
1.42,158.057606951719
1.44,155.708202088714
1.46,153.707922994405
1.48,152.043276010835
1.5,150.700945977471
1.52,149.667737843147
1.54,148.930510923717
1.56,148.476106444718
1.58,148.291270425943
1.6,148.362572283412
1.62,148.676320546661
1.64,149.218477986806
1.66,149.974575991552
1.68,150.929631770586
1.7,152.068068435891
1.72,153.373641445353
1.74,154.829372679892
1.76,156.417495631905
1.78,158.11941326526
1.8,159.915672675402
1.82,161.78595821051
1.84,163.709107044333
1.86,165.663149617644
1.88,167.625377393931
1.9,169.572440467435
1.92,171.480476688966
1.94,173.325273099369
1.96,175.082459769655
1.98,176.727735188585
2,178.237121021485
2.02,179.587242447379
2.04,180.75562972774
2.06,181.721034572551
2.08,182.463754207345
2.1,182.965954907427
2.12,183.211985957936
2.14,183.188674815538
2.16,182.885594154175
2.18,182.295292069942
2.2,181.413477503603
2.22,180.239154184105
2.24,178.774697981453
2.26,177.025874405537
2.28,175.001793580816
2.3,172.714801801273
2.32,170.180306811935
2.34,167.41652849611
2.36,164.444149596652
2.38,161.285785413859
2.4,157.965006771032
2.42,154.503890483942
2.44,150.913938085364
2.46,147.139224323331
2.48,142.01547251083
2.5,138.108915623226
2.52,136.211569181351
2.54,132.772625326829
2.56,129.299974256236
2.58,125.910178869759
2.6,122.645212384074
2.62,119.532401039682
2.64,116.592273024016
2.66,113.839555051208
2.68,111.28260516924
2.7,108.922299054441
2.72,106.750657063974
2.74,104.749350301464
2.76,102.888172399675
2.78,101.123430506415
2.8,99.3959854804453
2.82,97.6333100925844
2.84,95.7876264560016
2.86,93.8088747144549
2.88,91.5740235248841
2.9,89.0031162166136
2.92,86.0454797446897
2.94,82.6714506213392
2.96,78.8779507221571
2.98,74.6913105859754
3,70.1658759132268
3.02,65.3789025949289
3.04,60.4228669812156
3.06,55.3966856422075
3.08,50.3973366123295
3.1,45.5130262206776
3.12,40.8185134590871
3.14,36.3726776855122
3.16,32.2180288621344
3.18,28.3816592366713
3.2,24.8770983266994
3.22,21.7066026632344
3.24,18.8635294489726
3.26,16.3345659366724
3.28,14.1016899045745
3.3,12.1438125190197
3.32,10.4381040926823
3.34,8.96103104456379
3.36,7.68914503180703
3.38,6.59966818586167
3.4,5.67091571992812
3.42,4.88259154169881
3.44,4.21598561623228
3.46,3.65409495761517
3.48,3.1816845081082
3.5,2.78530097229169
3.52,2.45325276827896
3.54,2.17557321967949
3.56,1.94399308397762
3.58,1.75196561558501
3.6,1.59481750312733
3.62,1.47013405351653
3.64,1.3784115865508
3.66,1.3233007425944
3.68,1.30898498083608
3.7,1.33412043886556
3.72,1.39062657785814
3.74,1.46962493018097
3.76,1.56518605261245
3.78,1.67415135716586
3.8,1.79506229191843
3.82,1.92739123516744
3.84,2.07110492770281
3.86,2.22642282774028
3.88,2.39367730340993
3.9,2.57322690562981
3.92,2.76539841427529
3.94,2.97044547203742
3.96,3.18851756259894
3.98,3.41963605770705
4,3.66367558282154
4.02,3.92034976350696
4.04,4.18920085906306
4.06,4.46959303447255
4.08,4.76070914191602
4.1,5.0615509232775
4.12,5.37094253455993
4.14,5.68753725855395
4.16,6.00982723189338
4.18,6.33615597909271
4.2,6.66473352047263
4.22,6.99365380100926
4.24,7.32091417080874
4.26,7.64443662858473
4.28,7.96209052233041
4.3,8.27171638015634
4.32,8.57115052541539
4.34,8.85825011342601
4.36,9.13091821406822
4.38,9.38712855766307
4.4,9.62494955955765
4.42,9.84256725120663
4.44,10.0383067511429
4.46,10.2106519453592
4.48,10.3582630695702
4.5,10.4799919265043
4.52,10.5748945237634
4.54,10.6422409606249
4.56,10.6815224571957
4.58,10.6924554753888
4.6,10.674982950657
